,Unnamed: 0,id,compendiumUrl,numPages,curatorApiUrl,GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,sum,Sc ppm,Cr,Co,Cu,Zn,Ga,Ge ppb,As,Se,Rb,Sr,,Nb,Mo,Ru,Rh,Pd ppb,Ag ppb,Cd ppb,In ppb,Sn ppb,Sb ppb,Te ppb,Cs ppm,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W ppb,Re ppb,Os ppb,Ir ppb,Pt ppb,Au ppb,Th ppm,U ppm
167,167,70139,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/70139.pdf,3,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/70139,70139.0,,Apollo 17,ALSEP,,SCB 2/10E,3.16,Basalt,Ilmenite,41.486999999999995,"March, 30 2012 00:00:00",True,,,"B1, medium-grained, hypidiomorphic granular, plagioclase poikilitic",[],['13.1'],['8.32'],['17.6'],['0.23'],['9.6'],['10'],['0.36'],['0.04'],[],[],[],['80'],['3810'],['26.2'],[],[],[],[],[],[],"['0.281', '0.282']","['180', '146', '146']",,[],[],[],[],[],[],[],[],[],[],[],['0.02'],['67'],['3.1'],['13'],[],"['15', '12.3', '12.4']","['4.8', '5.3', '5.38']",['1.4'],[],['1.5'],['9.7'],[],[],[],['5.4'],['0.81'],['5.7'],['1.2'],[],[],[],[],[],[],['0.3'],['0.1']
168,168,70147,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/70147.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/70147,70147.0,,Apollo 17,ALSEP,GEOPHONE ROCK,SCB 2/10E,1.35,Basalt,Ilmenite,9.037,"March, 16 2010 00:00:00",True,,,"A, medium-grained, hypidiomorphic granular, plagioclase poikilitic",[],['13'],['8.4'],['17.9'],['0.23'],['8.8'],['9.2'],['0.39'],['0.06'],[],[],[],['77'],['3530'],['22.8'],[],[],[],[],[],[],[],['140'],,[],[],[],[],[],[],[],[],[],[],[],['0.04'],['76'],['4.8'],['22'],[],['18'],['7.1'],['1.7'],[],['2.1'],['13.2'],[],[],[],['7.2'],['1.07'],['6.9'],['1.4'],[],[],[],[],[],[],['0.2'],['0.1']
169,169,70185,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/70185.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/70185,70185.0,,Apollo 17,ALSEP,,SCB 1/475,466.6,Basalt,Ilmenite,99.249,"September, 19 2014 00:00:00",True,,,"U, fine-grained, vesicular, intergranular",['40.18'],"['9.6', '11.52']","['10.2', '9.04']","['18.9', '17.64']","['0.237', '0.26']","['8.1', '8.11']","['11.1', '11.95']","['0.433', '0.39']","['0.093', '0.05', '0.04']",['0.02'],['0.17'],[],"['84', '84']","['2400', '2737']","['15.9', '19.7']",[],[],[],[],[],[],['0.49'],['173'],,[],[],[],[],[],[],[],[],[],[],[],[],['66.3'],"['11.1', '5.24']",['18.5'],[],['21.1'],"['15.4', '8.83']","['2.74', '1.87']",['14'],[],"['28', '16']",[],['9.52'],[],"['14.7', '8.67']","['1.9', '1.21']",['8.2'],[],[],[],[],[],[],[],['0.38'],['0.11']
170,170,70215,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/70215.pdf,17,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/70215,70215.0,,Apollo 17,LM,SEP,BSLSS,8110.0,Basalt,Ilmenite,90.677,"January, 21 2015 00:00:00",True,True,"70215,287; 70215,263; 70215,84; 70215,238; 70215,93; 70215,286","B, fine-grained, microporphyritic, spherulitic matrix","['37.19', '38.46', '38.3', '37.91']","['13.14', '12.48', '14.5', '12.53', '13.08']","['8.67', '9.01', '8.71', '8.86']","['19.62', '19.46', '19.94', '19.96']","['0.28', '0.29', '0.25', '0.264']","['8.52', '7.91', '8.32', '7.99']","['10.43', '10.94', '10.63', '10.77']","['0.32', '0.42', '0.37', '0.38']","['0.04', '0.05', '0.0435', '0.045', '0.041']","['0.09', '0.1', '0.1', '0.114']","['0.18', '0.17', '0.162', '0.188']",[],['85.9'],"['2874', '2668', '3030', '2710', '2949']","['21.3', '23']","['6.4', '3']","['5', '6', '3', '2']",['3.56'],[],['46'],['0.17'],"['0.2', '0.9', '0.356', '0.36', '1']","['121', '123', '121', '143', '122']",,"['20', '21', '18', '20.8']",[],[],[],[],[],[],[],[],[],[],['0.013'],"['56.9', '59', '77']","['5.22', '5.54']","['16.5', '19.6']",['3'],"['16.7', '19']","['6.69', '6.7']","['1.37', '1.4']","['10.4', '9.1']",['1.8'],"['12.2', '11.5']",['2.5'],"['7.4', '7.2']",[],"['7.04', '6.97']","['1.03', '1.06']",['6.33'],['1.55'],['86'],[],[],[],[],['0.3'],['0.34'],"['0.13', '0.091']"
171,171,70255,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/70255.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/70255,70255.0,,Apollo 17,LM,SEP,SCB 8/22E,277.2,Basalt,Ilmenite,97.552,"November, 26 2014 00:00:00",True,,,"A, fine-grained, olivine porphyritic, spherulitic matrix",['40.11'],"['11.41', '11.3']","['9.02', '9.1']","['18.73', '20.3']","['0.29', '0.249']","['7.63', '8']","['11.3', '10.6']","['0.39', '0.387']","['0.05', '0.048', '0.077']",['0.04'],['0.19'],[],"['80', '90']",['2860'],"['17.5', '19.5']",[],[],[],[],[],[],['0.65'],['199'],,[],[],[],[],[],[],[],[],[],[],[],[],['85.3'],"['7.05', '6.4']",['24.7'],[],['27.3'],"['11.4', '10']","['2.23', '2.2']",['17.6'],[],"['20.2', '18']",[],['12.1'],[],"['11.8', '10']","['1.48', '1.4']","['9.7', '9.6']",[],[],[],[],[],[],[],['0.31'],['0.107']
172,172,70275,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/70275.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/70275,70275.0,,Apollo 17,LM,SEP,SCB 8/23E,171.4,Basalt,Ilmenite,93.954,"December, 22 2014 00:00:00",True,,,"B2, fine-grained, olivine porphyritic, spherulitic matrix",['39.37'],['11.9'],['10.23'],['18.61'],['0.28'],['6.09'],['11.65'],['0.38'],"['0.052', '0.06', '0.055']",['0.08'],['0.15'],[],"['85', '80']",['1727'],"['16', '17']",['36'],['84'],['4.1'],[],[],[],"['0.454', '0.59']","['153', '155']",,['19'],['0.22'],[],[],[],[],[],[],[],['20'],[],[],"['73.5', '67']","['6.32', '5.95']","['20.8', '21.3']",['3.54'],"['21.8', '20.3']","['8.75', '8.34']","['1.73', '1.57']","['14', '12.1']",['2.09'],"['15.2', '13.4']",['2.98'],"['9.14', '8.06']",['1.13'],"['8.3', '8.07']","['1.17', '1.13']",['6.34'],['1.32'],['100'],[],[],[],[],[],"['0.43', '0.36']","['0.12', '0.14', '0.12']"
173,173,70315,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/70315.pdf,5,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/70315,70315.0,,Apollo 17,,LRV-12,SCB 5/54Y,148.6,Basalt,Ilmenite,92.882,"November, 26 2014 00:00:00",True,,,"B1, medium-grained, subophitic to glomeroporphyritic, vuggy",[],['13.1'],['9.3'],['17.9'],['0.24'],['10'],['10.2'],['0.387'],"['0.048', '0.039']",[],[],[],"['81', '79']","['3742', '2790']","['20', '24']",['49.5'],['119'],['3.75'],[],[],[],['0.24'],['163'],,['21'],[],[],[],[],[],[],[],[],[],[],[],['54'],"['3.2', '3.78']","['13', '16.2']",['2.74'],"['14', '17.7']","['5.8', '7.48']","['1.4', '1.6']",['9.73'],"['1.4', '1.99']","['10', '13.8']",['2.68'],['7.76'],['1.05'],"['5.6', '7.88']","['0.81', '1.06']","['5.7', '6.39', '8.1']","['1.3', '1.44']",[],[],[],[],[],[],"['0.27', '0.23']","['0.1', '0.07']"
174,174,71035,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71035.pdf,12,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71035,71035.0,,Apollo 17,1A,,SCB 1/476,144.8,Basalt,Ilmenite,97.596,"November, 26 2014 00:00:00",True,,,"B2, medium-grained, vuggy, intergranular, plagioclase poikilitic","['37.44', '38.14']","['12.17', '14.36', '14.51', '13.41']","['8.31', '9.31', '10.01', '8.62']","['19.43', '19.04', '18.52', '19.2']","['0.26', '0.26', '0.26', '0.26']","['10.44', '8.79', '9.04']","['9.5', '11.33', '10.63', '10.77']","['0.44', '0.42', '0.41', '0.31']","['0.043', '0.06']",['0.08'],[],[],"['95', '82', '87']","['2790', '2640', '2805']","['21.6', '22', '51']","['4.4', '31']",['3'],"['3', '8.1']",[],[],[],"['0.9', '0.9']","['104', '170', '121']",,['27'],[],[],[],[],[],[],[],[],[],[],['0.07'],"['39', '315', '62.4']","['4.67', '4.6']","['13.4', '22', '15.6']",[],['17'],"['7.05', '6.1', '6.72']","['1.49', '1.8', '1.36']",[],"['1.74', '2']","['14.3', '13']",[],['7.74'],[],"['5.4', '6.3', '5.4', '7.75']","['1.1', '1.1']","['6.6', '6']","['1.54', '1.6']",['0.089'],[],[],[],[],[],['0.32'],['0.132']
175,175,71036,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71036.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71036,71036.0,1005.0,Apollo 17,1A,,SCB 1/476,118.4,Basalt,Ilmenite,0.0,"August, 15 2007 00:00:00",False,,,"unclassified, medium-grained, vuggy, intergranular, unstudied, no pictures in db, frozen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,71037,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71037.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71037,71037.0,1006.0,Apollo 17,1A,,SCB 1/476,14.39,Basalt,Ilmenite,89.479,"July, 27 2012 00:00:00",True,,,"B, fine-grained, olivine porphyritic, vuggy, intergranular, radiate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,71055,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71055.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71055,71055.0,,Apollo 17,1A,,SCB 1/454,669.6,Basalt,Ilmenite,79.563,"August, 14 2013 00:00:00",True,,,"unclassified, fine to medium-grained, intergranular, vesicular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,71065,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71065.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71065,71065.0,1013.0,Apollo 17,1A,,SCB 1/456,28.83,Basalt,Ilmenite,98.335,"March, 30 2012 00:00:00",True,,,"B, fine-grained, intersertal, single vug",[],"['12.5', '14.2', '12.2']","['8.9', '8.9', '8.6']","['19.8', '20.5', '19.1']","['0.26', '0.26', '0.246']","['8', '9', '10']","['10', '9.4', '9.8']","['0.39', '0.406', '0.312']","['0.041', '0.041', '0.032']",[],[],[],"['89', '89', '85']","['2579', '3325', '3243']","['22', '27', '21']",[],[],[],[],[],[],['0.315'],['146'],,[],[],[],[],[],[],[],[],[],[],[],[],[],"['5.1', '5.1', '4.3']","['18', '18', '17']",[],"['19', '18', '20', '17.3']","['6.9', '6.5', '7.4', '7.35']","['1.34', '1.33', '1.55']",[],"['1.7', '1.6', '1.9']","['11', '11', '12']",[],[],[],"['6.9', '6.7', '7.4']","['1.01', '1.02', '1.07']","['6.8', '6.4', '6.6']","['1.7', '1.8', '1.5']",[],[],[],[],[],[],[],[]
179,179,71066,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71066.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71066,71066.0,1014.0,Apollo 17,1A,,SCB 1/456,19.96,Basalt,Ilmenite,94.354,"March, 30 2012 00:00:00",True,,,"B, fine-grained, intersertal, few vugs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,71069,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71069.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71069,71069.0,1017.0,Apollo 17,1A,,SCB 1/456,4.058,Basalt,Ilmenite,79.226,"March, 30 2012 00:00:00",True,,,"B2, fine-grained, intergranular, few vugs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,181,71135,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71135.pdf,9,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71135,71135.0,1028.0,Apollo 17,1A,,SCB 1/477,36.85,Basalt,Ilmenite,87.87,"September, 22 2014 00:00:00",True,,,"B, fine to medium-grained, intergranular, vuggy",['39.71'],['10.74'],['10.1'],['18.57'],['0.28'],['7.31'],['11.62'],['0.38'],"['0.042', '0.05', '0.045']",['0.06'],['0.11'],[],['82.1'],,['17.5'],[],[],[],[],[],[],['0.354'],['143'],,[],[],[],[],[],[],[],[],[],[],[],[],['61.4'],['5.43'],['17.8'],[],['18.6'],['7.55'],['1.56'],['12'],[],['13.3'],[],['7.95'],[],['7.28'],['1'],[],[],[],[],[],[],[],[],['0.6'],"['0.14', '0.11']"
182,182,71136,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71136.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71136,71136.0,1029.0,Apollo 17,1A,,SCB 1/477,25.39,Basalt,Ilmenite,95.876,"September, 19 2014 00:00:00",True,,,"B, medium-grained, intergranular, radiate, vuggy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,71155,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71155.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71155,71155.0,1031.0,Apollo 17,1A,,SCB 1/478,26.15,Basalt,Ilmenite,87.53299999999999,"April, 01 2014 00:00:00",True,,,"B, fine-grained, intergranular, radiate, vesicular, vuggy",[],['10.1'],['9.2'],['19.1'],['0.25'],['8'],['10.8'],['0.353'],"['0.048', '0.048', '0.054', '0.054']",[],[],[],['81'],['3339'],['23'],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],['5.6'],['21'],[],['23'],['8.1'],['1.49'],[],['1.8'],['12'],[],[],[],['6.9'],['0.97'],['6.3'],['1.3'],[],[],[],[],[],[],"['0.31', '0.29', '0.29']","['0.118', '0.13', '0.13']"
184,184,71175,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71175.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71175,71175.0,,Apollo 17,1A,,SCB 1/479,207.8,Basalt,Ilmenite,98.229,"September, 19 2014 00:00:00",True,,,"A, medium-grained, subophitic to plagioclase poikilitic",['37.93'],"['13.08', '12.7']","['8.47', '9.1']","['19.37', '20.5']","['0.28', '0.238']","['9.63', '10.1']","['9.79', '9.2']","['0.38', '0.387']","['0.04', '0.067', '0.059']",['0.04'],['0.16'],[],"['77', '78']","['3695', '3462']","['17.6', '22']",[],[],[],[],[],[],['0.59'],['184'],,[],[],[],[],[],[],[],[],[],[],[],[],['78.5'],"['6.43', '5']",['22.3'],[],['24.7'],"['10.3', '8']","['2.08', '1.89']",['15.7'],[],"['18', '14']",[],['11'],[],"['9.69', '8.3']","['1.52', '1.2']",['8.9'],[],[],[],[],[],[],[],['0.39'],['0.11']
185,185,71505,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71505.pdf,5,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71505,71505.0,1033.0,Apollo 17,1A,,SCB 1/459,29.45,Basalt,Ilmenite,90.90299999999999,"March, 30 2012 00:00:00",True,,,"B, fine-grained, olivine microporphyritic, radiate",[],['10.5'],['9.6'],['19.2'],['0.252'],['7'],['10.3'],['0.367'],['0.048'],[],[],[],['86'],['2094'],['18'],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],['5.9'],['21'],[],['22'],['7.8'],['1.57'],[],['1.9'],['13'],[],[],[],['7.6'],['1.09'],['6.9'],['1.6'],[],[],[],[],[],[],[],[]
186,186,71509,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71509.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71509,71509.0,1037.0,Apollo 17,1A,,SCB 1/459,1.69,Basalt,Ilmenite,79.882,"March, 30 2012 00:00:00",True,,,"C, medium-grained, plagioclase poikilitic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,71525,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71525.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71525,71525.0,1039.0,Apollo 17,1A,,SCB 1/457,3.9,Basalt,Ilmenite,90.0,"March, 30 2012 00:00:00",True,,,"unclassified, fine-grained, intersertal, radiate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,71536,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71536.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71536,71536.0,1045.0,Apollo 17,1A,,SCB 1/457,5.322,Basalt,Ilmenite,90.041,"March, 30 2012 00:00:00",True,,,"unclassified, medium-grained, subophitic to plagioclase poikilitic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,71537,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71537.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71537,71537.0,1046.0,Apollo 17,1A,,SCB 1/457,12.25,Basalt,Ilmenite,96.163,"March, 30 2012 00:00:00",True,,,"unclassified, fine-grained, intersertal, radiate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,71539,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71539.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71539,71539.0,1048.0,Apollo 17,1A,,SCB 1/457,10.9,Basalt,Ilmenite,73.266,"January, 27 2015 00:00:00",True,,,"A, fine-grained, intersertal, radiate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,71546,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71546.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71546,71546.0,1050.0,Apollo 17,1A,,SCB 1/457,150.7,Basalt,Ilmenite,97.883,"September, 19 2014 00:00:00",True,,,"A, fine-grained, intersertal, radiate",['39.14'],"['12.1', '12.33']","['9.2', '8.91']","['17.7', '19.11']","['0.24', '0.28']","['7.5', '8.34']","['11', '10.79']","['0.38', '0.4']","['0.07', '0.05']",['0.05'],['0.19'],[],['77'],"['2805', '2805']",['18'],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],['6.5'],['24'],[],[],['9.5'],['1.89'],[],['2.3'],['15'],[],[],[],['7.8'],['1.3'],['9'],['2.1'],[],[],[],[],[],[],[],[]
192,192,71548,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71548.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71548,71548.0,1052.0,Apollo 17,1A,,SCB 1/457,25.46,Basalt,Ilmenite,98.35,"March, 30 2012 00:00:00",True,,,"unclassified, fine-grained intergranular",[],['12.4'],['8.7'],['19.6'],['0.24'],['8.5'],['9.3'],['0.41'],['0.057'],[],[],[],['77'],['3113'],['17'],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],['6.5'],['38'],[],[],['9.9'],['2.02'],[],['2.6'],[],[],[],[],['9.4'],['1.43'],['9.8'],['1'],[],[],[],[],[],[],[],[]
193,193,71549,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71549.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71549,71549.0,1053.0,Apollo 17,1A,,SCB 1/457,7.903,Basalt,Ilmenite,94.81200000000001,"March, 30 2012 00:00:00",True,,,"unclassified, fine-grained, subophitic to plagioclase poikilitic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,71555,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71555.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71555,71555.0,1054.0,Apollo 17,1A,,SCB 1/457,4.547,Basalt,Ilmenite,92.303,"March, 30 2012 00:00:00",True,,,"unclassified, fine-grained, intersertal, radiate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,195,71556,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71556.pdf,10,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71556,71556.0,1055.0,Apollo 17,1A,,SCB 1/457,29.14,Basalt,Ilmenite,98.181,"March, 30 2012 00:00:00",True,,,"unclassified, fine-grained, subophitic to plagioclase poikilitic, vuggy",[],['11.7'],['10'],['19.9'],['0.24'],['7.5'],['10.5'],['0.45'],['0.056'],[],[],[],['70'],['2429'],['17'],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],['5.8'],['35'],[],[],['8.6'],['2.11'],[],['2.3'],['15'],[],[],[],['9.4'],['1.37'],['8.3'],['1.7'],[],[],[],[],[],[],[],[]
196,196,71557,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71557.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71557,71557.0,1056.0,Apollo 17,1A,,SCB 1/457,40.35,Basalt,Ilmenite,95.071,"March, 30 2012 00:00:00",True,,,"B1, fine-grained, subophitic to plagioclase poikilitic, vuggy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,71559,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71559.pdf,8,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71559,71559.0,1058.0,Apollo 17,1A,,SCB 1/457,82.16,Basalt,Ilmenite,98.57600000000001,"June, 06 2013 00:00:00",True,,,"unclassified, medium-grained, subophitic, few vugs",[],['8.3'],['10.3'],['17.8'],['0.226'],['6.3'],['12.2'],['0.48'],['0.068'],[],[],[],['72'],['1577'],['14.4'],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],['6.6'],['26'],[],['24'],['10.4'],['2.2'],[],['2.6'],['17'],[],[],[],['9.2'],['1.4'],['8.8'],['1.5'],[],[],[],[],[],[],[],[]
198,198,71565,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71565.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71565,71565.0,1059.0,Apollo 17,1A,,SCB 1/457,24.09,Basalt,Ilmenite,97.14,"March, 30 2012 00:00:00",True,,,"unclassified, medium-grained, plagioclase poikilitic, vuggy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,199,71566,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71566.pdf,11,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71566,71566.0,1060.0,Apollo 17,1A,,SCB 1/457,414.4,Basalt,Ilmenite,45.059,"November, 20 2014 00:00:00",True,True,"71566,4","U, medium-grained, plagioclase poikilitic, vuggy",['39.27'],"['11.5', '12.01']","['9.4', '9.22']","['18.4', '18.73']","['0.23', '0.27']","['8.2', '8.4']","['11', '10.89']","['0.44', '0.4', '0.054']","['0.05', '0.03']",['0.03'],['0.16'],[],"['73', '78']",['2600'],"['20', '18']",[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],"['4.1', '4.29']","['20', '17.2']",[],['18'],"['6.9', '7.62']","['1.7', '1.75']",[],['1.8'],['12'],[],[],[],"['6.4', '7.9']","['0.98', '1.16']","['6.6', '7.8']",['1.3'],[],[],[],[],[],[],['0.31'],['0.092']
200,200,71567,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71567.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71567,71567.0,1061.0,Apollo 17,1A,,SCB 1/457,146.0,Basalt,Ilmenite,95.814,"September, 19 2014 00:00:00",True,,,"U, medium-grained, plagioclase poikilitic, vuggy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,201,71568,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71568.pdf,0,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71568,71568.0,1062.0,Apollo 17,1A,,SCB 1/457,10.02,Basalt,Ilmenite,94.91,"March, 30 2012 00:00:00",True,,,"unclassified, medium-grained, plagioclase poikilitic, vuggy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,71569,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/71569.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/71569,71569.0,1063.0,Apollo 17,1A,,SCB 1/457,289.6,Basalt,Ilmenite,91.025,"September, 19 2014 00:00:00",True,,,"A, fine-grained, olivine microporphyritic, radiate","['39.4', '39.97']","['12.2', '13.2', '11.57']","['8.6', '8.5', '9.08']","['18.9', '17.9', '18.85']","['0.245', '0.22', '0.28']","['8.47', '9.2', '7.66']","['10.6', '9.6', '11.27']","['0.39', '0.37', '0.41']","['0.067', '0.07', '0.06']","['0.066', '0.06']","['0.16', '0.19']",[],"['82.4', '73', '81']","['3180', '2463']","['18.6', '17.5', '18']",['4'],[],['2.15'],[],['0.012'],['0.11'],"['0.74', '0.64']","['170', '195']",,['24'],[],[],[],[],[],[],[],[],[],[],['0.041'],"['88', '84']","['6.82', '6.1', '6.74']","['23', '22', '23.8']",['4.3'],"['26', '26.3']","['10.4', '11.1', '10.9']","['2.03', '1.97', '2.19']","['15.1', '17.1']","['2.7', '2.4']","['17.1', '15', '19']",['3.7'],"['11', '11.6']",[],"['10.1', '9.8', '10.5']","['1.42', '1.4', '1.5']","['8.7', '8.4', '9.7']","['1.75', '1.7']",['79'],[],[],['4.8'],[],['0.25'],[],['0.147']
